tshū,407,跙
tshu,542,趨
tshuā,544,𤆬
tshuah,392,礤
tshuah,459,掣
tshuah,460,疶
tshuân,413,攢
tshuann,461,扦
tshuê,397,箠
tshue,463,炊
tshuì-phué,465,喙䫌
tshuì-tûn,364,喙脣
tshuì,311,喙
tshun,464,賰
tsî,466,糍
tsia--ê,352,遮的
tsia-ê,352,遮的
tsia/tsiâ,287,遮
tsiah,468,才
tsiah,469,遮
tsia̍h,471,食
tsiam-tsí,473,針黹
tsian,472,煎
tsiânn,305,誠
tsiânn,306,成
tsiánn,435,汫
tsiàu-khí-kang,311,照起工
tsi̍k-bo̍k,470,寂寞
tsim-tsiok,474,斟酌
tsim,417,唚
tsing,418,舂
tsîng,475,從
tsìnn,382,糋
tsínn,386,茈
tsinn,411,櫼
tsīnn/tsn̄g/tsuīnn/tsī,476,舐
tsió,477,少
tsi̍t-kuà(-á),354,一寡(仔)
tsit-má,419,這馬
tsit,297,這
tsiù-tsuā,479,咒誓
tsiú,478,守
tsiū,482,就
tsiunn-tsî,418,螿蜍
tsò-hué,481,做伙
tso̍h--ji̍t,480,昨日
tsoh-sit,330,作穡
tsū,400,苴
tsuā,419,逝
tsuànn,420,炸
tsuann,483,煎
tsuí-ke/suí-kue,420,水雞
tsūn,338,陣
tú,307,拄
tū,421,駐
tù,489,注
tuà,485,蹛
tuè,422,綴
tuh-ku,360,盹龜
tu̍h,488,揬
uá,380,倚
uan-ke,355,冤家
uàn-thàn,486,怨嘆
uànn,491,晏
uat,358,斡
ua̍t,440,越
uat,490,斡
ui,362,揻
ùn,492,搵
ut-tsut,384,鬱卒
